Date,Close,High,Low,Open,Volume,% Change,7d MA
2024-09-26,2.5850000381469727,2.690000057220459,2.5239999294281006,2.640000104904175,187374,,
2024-09-27,2.9019999504089355,2.931999921798706,2.7200000286102295,2.74399995803833,224258,12.2630525177555,
2024-09-30,2.9230000972747803,2.947999954223633,2.865000009536743,2.8989999294281006,156783,0.7236439429602948,
2024-10-01,2.8959999084472656,2.941999912261963,2.825000047683716,2.9070000648498535,161084,-0.9237149479634943,
2024-10-02,2.885999917984009,3.0,2.869999885559082,2.8980000019073486,162673,-0.34530354901214366,
2024-10-03,2.9700000286102295,2.98799991607666,2.9000000953674316,2.9210000038146973,133170,2.9106068265205787,
2024-10-04,2.8540000915527344,3.0190000534057617,2.8310000896453857,2.9709999561309814,173745,-3.905721748823543,2.859428576060704
2024-10-07,2.746000051498413,2.8389999866485596,2.7049999237060547,2.8269999027252197,216871,-3.7841638608905326,2.8824285779680525
2024-10-08,2.7330000400543213,2.7809998989105225,2.6989998817443848,2.7330000400543213,162513,-0.47341628551674786,2.858285733631679
2024-10-09,2.6600000858306885,2.7239999771118164,2.631999969482422,2.7090001106262207,190644,-2.6710557319341244,2.82071430342538
2024-10-10,2.674999952316284,2.700000047683716,2.5880000591278076,2.6470000743865967,188461,0.5639047369019767,2.7891428811209544
2024-10-11,2.631999969482422,2.7269999980926514,2.615000009536743,2.687000036239624,150928,-1.6074760224436102,2.752857174192156
2024-10-14,2.49399995803833,2.625,2.4760000705718994,2.624000072479248,139692,-5.2431615898243855,2.6848571641104564
2024-10-15,2.497999906539917,2.549999952316284,2.444999933242798,2.4820001125335693,156441,0.1603828616233427,2.633999994822911
2024-10-16,2.367000102996826,2.496999979019165,2.3580000400543213,2.48799991607666,173482,-5.244187687922864,2.57985714503697
2024-10-17,2.3469998836517334,2.4170000553131104,2.3380000591278076,2.377000093460083,135847,-0.8449606453236225,2.524714265550886
2024-10-18,2.257999897003174,2.369999885559082,2.247999906539917,2.3489999771118164,164160,-3.792074608460705,2.4672856671469554
2024-10-21,2.312000036239624,2.36899995803833,2.2100000381469727,2.2200000286102295,154025,2.3915031753597216,2.415428536278861
2024-10-22,2.311000108718872,2.375,2.2709999084472656,2.364000082015991,198772,-0.04324945956222237,2.3695714133126393
2024-10-23,2.3420000076293945,2.441999912261963,2.257999897003174,2.3010001182556152,145225,1.3414062073630717,2.3478571346827914
2024-10-24,2.5220000743865967,2.5820000171661377,2.372999906539917,2.4000000953674316,139719,7.68574151028294,2.3512857300894603
2024-10-25,2.559999942779541,2.5789999961853027,2.4600000381469727,2.5309998989105225,67455,1.506735419196481,2.378857135772705
2024-10-28,2.309000015258789,2.5160000324249268,2.2679998874664307,2.505000114440918,89409,-9.80468488793116,2.3734285831451416
2024-10-29,2.3459999561309814,2.3910000324249268,2.200000047683716,2.259000062942505,143883,1.6024227209910036,2.3860000201634
2024-10-30,2.8450000286102295,2.9189999103546143,2.7699999809265137,2.9049999713897705,162834,21.27025071655151,2.4621428762163435
2024-10-31,2.7070000171661377,2.8299999237060547,2.687999963760376,2.812999963760376,185486,-4.850615467708952,2.51871429170881
2024-11-01,2.6630001068115234,2.7239999771118164,2.631999969482422,2.7019999027252197,166422,-1.6254122672919702,2.5645714487348283
2024-11-04,2.7809998989105225,2.7950000762939453,2.5139999389648438,2.559999942779541,201168,4.431084767784066,2.601571423666818
2024-11-05,2.6700000762939453,2.818000078201294,2.6510000228881836,2.7890000343322754,153934,-3.99136377746947,2.61728572845459
2024-11-06,2.746999979019165,2.7960000038146973,2.6600000858306885,2.678999900817871,157298,2.88389140543015,2.679857151848929
2024-11-07,2.693000078201294,2.7780001163482666,2.6559998989105225,2.7109999656677246,165551,-1.9657772562907794,2.729428597858974
2024-11-08,2.6689999103546143,2.747999906539917,2.6429998874664307,2.694000005722046,158000,-0.891205612690138,2.7042857238224576
2024-11-11,2.9200000762939453,2.9560000896453857,2.7690000534057617,2.7699999809265137,252383,9.404277795797377,2.7347143036978587
2024-11-12,2.9070000648498535,3.013000011444092,2.8550000190734863,2.9519999027252197,245266,-0.4452058597406383,2.769571440560477
2024-11-13,2.9830000400543213,3.0199999809265137,2.8299999237060547,2.9140000343322754,218400,2.6143781736858385,2.7984286035810197
2024-11-14,2.7850000858306885,2.984999895095825,2.759000062942505,2.9809999465942383,209678,-6.63761151743153,2.814857176371983
